ID,created_at,topics,vocab,CEFR,IPA,word_form,E_meaning,EV_meaning,V_meaning,E_example,V_example,word_family,synonymous,antonym,bonus,user_id
12,4/25/2026 1:06:12,Countries and Nationalities,Japanese,A2,/ˌdʒæp·ənˈiːz/,noun - uncountable,The main language spoken in japan,Ngôn ngữ chính được nói tại nhật bản,Tiếng nhật,She is learning japanese to communicate when she travels there,Cô ấy đang học tiếng nhật để giao tiếp khi du lịch ở đó,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181
13,4/25/2026 1:06:12,Countries and Nationalities,Japanese,A2,/ˌdʒæp·ənˈiːz/,adjective,"From or about japan, its people, or its language","Liên quan đến, hoặc có nguồn gốc từ nhật bản, người dân nhật bản, hoặc ngôn ngữ nhật bản",Thuộc về Nhật Bản,The japanese car company makes reliable vehicles,Công ty ô tô nhật bản sản xuất những chiếc xe đáng tin cậy,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181
14,4/25/2026 1:06:12,Countries and Nationalities,America,A2,/əˈmer·ɪ·kə/,noun,The united states of america (USA),Hợp chủng quốc hoa kỳ,Mỹ,The company decided to expand its business into america,Công ty quyết định mở rộng kinh doanh sang mỹ,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181
15,4/25/2026 1:06:12,Countries and Nationalities,America,A2,/əˈmer·ɪ·kə/,noun,North america and/or south america,Bắc mỹ và/hoặc nam mỹ,Châu Mỹ,Many different animal species live across america,Nhiều loài động vật khác nhau sinh sống trên khắp châu mỹ,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181
16,4/25/2026 1:06:12,Countries and Nationalities,American,A2,/əˈmer·ɪ·kən/,noun,A person who comes from the united states of america,Một cá nhân có xuất xứ từ hợp chúng quốc hoa kỳ,Người mỹ,The consulate provided assistance to any american citizen needing help abroad,Lãnh sự quán đã hỗ trợ mọi công dân mỹ cần giúp đỡ khi ở nước ngoài,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181
17,4/25/2026 1:06:12,Countries and Nationalities,American,A2,/əˈmer·ɪ·kən/,adjective,From or about the united states of america,Có nguồn gốc từ hoặc liên quan đến hợp chúng quốc hoa kỳ,Thuộc về Mỹ,Many people enjoy listening to american pop music,Nhiều người thích nghe nhạc pop mỹ,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181
18,4/25/2026 1:06:12,Countries and Nationalities,American,A2,/əˈmer·ɪ·kən/,adjective,From or connected to north or south america,Có nguồn gốc từ hoặc liên quan đến khu vực bắc hoặc nam mỹ,Thuộc châu mỹ,Many people from american countries speak spanish as a primary language,Nhiều người dân từ các quốc gia châu mỹ nói tiếng tây ban nha là ngôn ngữ chính,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181
19,4/25/2026 1:06:12,Countries and Nationalities,Australia,A2,/ɑːˈstreɪl·jə/,noun,A big country located in the southwest pacific ocean,Một quốc gia rộng lớn nằm ở phía tây nam thái bình dương,Úc,The journey by ship to australia took many weeks,Hành trình đi tàu đến úc kéo dài nhiều tuần,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181
20,4/25/2026 1:06:12,Countries and Nationalities,Australian,A2,/ɑːˈstreɪl·jən/,noun,A person from australia,Một người đến từ úc,Người Úc,"When they heard his unique accent, they guessed he was australian","Khi nghe giọng nói đặc trưng của anh, họ đoán anh là người úc",,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181
21,4/25/2026 1:06:12,Countries and Nationalities,Australian,A2,/ɑːˈstreɪl·jən/,adjective,Belonging to or relating to australia,Thuộc về hoặc liên quan đến nước úc,Thuộc về Úc,The chef prepared a dish with australian ingredients,Đầu bếp chế biến một món ăn với nguyên liệu úc,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181
22,4/25/2026 1:06:12,Countries and Nationalities,Mexico,A2,/ˈmek·sɪ·koʊ/,noun,A country in southern north america,Một quốc gia nằm ở phía nam bắc mỹ,Mexico,The map showed mexico as a large landmass connecting to the continent's southern tip,Bản đồ thể hiện mexico là một vùng đất rộng lớn nối liền với mũi phía nam của lục địa,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181
23,4/25/2026 1:06:12,Countries and Nationalities,Mexican,A2,/ˈmek·sɪ·kən/,noun,A person from mexico,Một người đến từ mexico,Người Mexico,The mexican wore colorful traditional clothing during the festival,Người mê-hi-cô mặc trang phục truyền thống đầy màu sắc trong lễ hội,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181
24,4/25/2026 1:06:12,Countries and Nationalities,Mexican,B1,/ˈmek·sɪ·kən/,adjective,From or about mexico or its people,Thuộc về hoặc liên quan đến mexico hoặc người dân của quốc gia này,Thuộc về Mexico,The restaurant serves traditional mexican food,Nhà hàng phục vụ món ăn truyền thống mexico,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181
25,4/25/2026 1:06:12,Countries and Nationalities,Egypt,B1,/ˈiː·dʒɪpt/,noun,A country in north africa,Một quốc gia ở bắc phi,Ai Cập,The nile river flows through egypt before reaching the sea,Sông nile chảy qua ai cập trước khi đổ ra biển,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181
26,4/25/2026 1:06:12,Countries and Nationalities,Egyptian,B1,/iːˈdʒɪp·ʃən/,noun,A person from egypt,Một người đến từ ai cập,Người Ai Cập,"While visiting, an egyptian helped explain local customs to the new arrivals","Trong chuyến thăm, một người ai cập đã giúp giải thích phong tục địa phương cho những người mới đến",,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181
27,4/25/2026 1:06:12,Countries and Nationalities,Egyptian,B1,/iːˈdʒɪp·ʃən/,adjective,From or about egypt or its people,Thuộc về hoặc liên quan đến ai cập hoặc người dân ai cập,Thuộc về Ai Cập,Many researchers study the rich history of egyptian civilization,Nhiều nhà nghiên cứu nghiên cứu lịch sử phong phú của nền văn minh ai cập,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181
