ID,created_at,topics,vocab,CEFR,IPA,word_form,E_meaning,EV_meaning,V_meaning,E_example,V_example,word_family,synonymous,antonym,bonus,user_id,learning_level,next_review
83,4/28/2026 1:46:23,Cardinal Numbers,eighteen,A1,/ˌeɪˈtiːn/,number,The number 18,Số 18,Số 18,They counted eighteen stars visible in the night sky,Họ đếm được 18 ngôi sao có thể thấy trên bầu trời đêm,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
84,4/28/2026 1:46:23,Cardinal Numbers,nineteen,A1,/ˌnaɪnˈtiːn/,number,The number 19,Số 19,Số 19,The group decided to order nineteen pizzas for the large gathering,Cả nhóm quyết định gọi mười chín cái pizza cho buổi tụ họp đông người,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
85,4/28/2026 1:46:23,Cardinal Numbers,twenty,A1,/ˈtwen·ɾiː/,number,The number 20,Số 20,Số 20,She waited twenty minutes for the bus to arrive,Cô ấy đợi hai mươi phút để xe buýt đến,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
86,4/28/2026 1:46:23,Cardinal Numbers,thirty,A2,/ˈθɜr·ɾiː/,number,The number 30,Số 30,Số 30,She blew out all thirty candles on her birthday cake,Cô ấy thổi tắt tất cả ba mươi cây nến trên chiếc bánh sinh nhật của mình,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
87,4/28/2026 1:46:23,Cardinal Numbers,forty,A2,/ˈfɔːr·ɾiː/,number,The number 40,Số 40,Số 40,"The temperature reached forty degrees, indicating a very warm day","Nhiệt độ lên tới bốn mươi độ, cho thấy trời rất nóng",,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
88,4/28/2026 1:46:23,Cardinal Numbers,fifty,A2,/ˈfɪf·tiː/,number,The number 50,Số 50,Số 50,A new building project will begin in fifty days,Một dự án xây dựng mới sẽ bắt đầu sau năm mươi ngày,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
89,4/28/2026 1:46:23,Cardinal Numbers,sixty,A2,/ˈsɪk·stiː/,number,The number 60,Số 60,Số 60,There are sixty minutes in one hour,Một giờ có sáu mươi phút,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
90,4/28/2026 1:46:23,Cardinal Numbers,seventy,A2,/ˈsev·ən·ɾiː/,number,The number 70,Số 70,Số 70,A large tree can grow up to seventy feet tall,Một cây to có thể cao đến bảy mươi feet,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
91,4/28/2026 1:46:23,Cardinal Numbers,eighty,A2,/ˈeɪ·ɾiː/,number,The number 80,Số 80,Số 80,The train carriage could hold exactly eighty passengers,Toa tàu có thể chứa đúng tám mươi hành khách,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
92,4/28/2026 1:46:23,Cardinal Numbers,ninety,A2,/ˈnaɪn·ɾiː/,number,The number 90,Số 90,Số 90,The book has exactly ninety pages,Cuốn sách đó có đúng chín mươi trang,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
93,4/28/2026 1:46:23,Cardinal Numbers,hundred,A2,/ˈhʌn·drəd/,number,The number 100,Số 100,Số 100,There are one hundred pages in this book,Cuốn sách này có một trăm trang,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
94,4/28/2026 1:46:23,Cardinal Numbers,thousand,A2,/ˈθaʊ·zənd/,number,"The number 1,000",Số 1.000,Số 1.000,The city has a population of over one thousand people,Thành phố có hơn một nghìn người,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
95,4/28/2026 1:46:23,Cardinal Numbers,million,A2,/ˈmɪl·jən/,number,"The number 1,000,000",Số 1.000.000,Số 1.000.000,The large factory produced over a million car parts last year,Nhà máy lớn đã sản xuất hơn một triệu linh kiện ô tô năm ngoái,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
