ID,created_at,topics,vocab,CEFR,IPA,word_form,E_meaning,EV_meaning,V_meaning,E_example,V_example,word_family,synonymous,antonym,bonus,user_id,learning_level,next_review
126,5/1/2026 2:26:10,Weather,wind,A1,/wɪnd/,noun,"Air that is moving, especially when strong enough to be felt","Luồng khí đang chuyển động, đặc biệt là khi có cường độ đủ mạnh để cảm nhận được",Gió,The wind rustled the tall grass in the field,Gió thổi xào xạc đám cỏ cao trên cánh đồng,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
127,5/1/2026 2:26:10,Weather,windy,A2,/ˈwɪn·diː/,adjective,With a lot of wind,Đặc trưng bởi sự hiện diện của nhiều gió,Nhiều gió,"The top of the hill was very windy, so we had to hold onto our hats","Đỉnh đồi rất gió lộng, nên chúng tôi phải giữ chặt mũ",,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
128,5/1/2026 2:26:10,Weather,cloud,A2,/klaʊd/,noun,"A mass of small water drops floating in the sky, appearing grey or white","Một khối gồm các giọt nước nhỏ lơ lửng trên bầu trời, xuất hiện với màu xám hoặc trắng",Mây,"A dark cloud moved across the sun, making the day dim","Một đám mây đen che khuất mặt trời, khiến ngày tối sầm lại",,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
129,5/1/2026 2:26:10,Weather,cloudy,A2,/ˈklaʊ·diː/,adjective,With clouds,Có nhiều mây,Có nhiều mây,"The sky was cloudy, so the sun did not shine through","Trời nhiều mây, nên không có nắng",,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
130,5/1/2026 2:26:10,Weather,fog,A2,/fɑːg/,noun,"A thick cloud made of tiny water drops that forms near the ground or water, making it hard to see","Một đám mây dày đặc được tạo thành từ những giọt nước nhỏ li ti, hình thành gần mặt đất hoặc mặt nước, gây cản trở tầm nhìn",Sương mù,The dense fog made it impossible to see the road ahead,Sương mù dày đặc khiến không thể thấy đường phía trước,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
131,5/1/2026 2:26:10,Weather,fog,C2,/fɑːg/,noun,"A state of being confused or unsure, especially in one's mind or feelings","Một trạng thái tinh thần bối rối hoặc không chắc chắn, đặc biệt là về suy nghĩ hoặc cảm xúc","Sự mơ hồ, mịt mù trong tâm trí","After the sudden news, she was in a complete fog for the rest of the day","Sau tin tức bất ngờ đó, đầu óc cô ấy mịt mù suốt cả ngày",,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
132,5/1/2026 2:26:10,Weather,foggy,A2,/ˈfɑː·giː/,adjective,With fog,Có sương mù,"Có sương mù, mù mịt",The trail became difficult to follow due to the very foggy conditions,Đường mòn trở nên khó đi do trời mù mịt,,misty,dry arid,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
133,5/1/2026 2:26:10,Weather,foggy,C2,/ˈfɑː·giː/,adjective,Confused and unable to think clearly,"Ở trong trạng thái tâm trí bị xáo trộn, không thể suy nghĩ một cách rõ ràng hoặc minh mẫn","
Đầu óc mụ mị, mơ hồ",The complex instructions left her with a foggy understanding of the task,Những hướng dẫn phức tạp khiến cô ấy hiểu mơ hồ về nhiệm vụ,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
134,5/1/2026 2:26:10,Weather,ice,A2,/aɪs/,noun,"Solid, frozen water, or pieces of it","Nước ở thể rắn, được tạo thành khi bị đông lạnh, hoặc các mảnh của nó","Nước đá, băng",Be careful not to slip on the ice on the sidewalk,Cẩn thận kẻo trượt chân trên lớp băng ở vỉa hè,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
135,5/1/2026 2:26:10,Weather,icy,B1,/ˈaɪ·siː/,adjective,Covered in ice,Được bao phủ bởi băng,Phủ băng,The sidewalks became icy after the freezing rain fell overnight,Vỉa hè trở nên đóng băng sau trận mưa băng giá đổ xuống đêm qua,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
136,5/1/2026 2:26:10,Weather,snow,A1,/snoʊ/,noun,"Tiny white ice pieces that fall from the sky when it is cold, or the white covering they make on the ground and other surfaces","Những tinh thể băng nhỏ màu trắng kết tủa từ khí quyển và rơi xuống khi nhiệt độ thấp, hoặc lớp phủ màu trắng mà chúng tạo thành trên mặt đất và các bề mặt khác",Tuyết,The fresh snow blanketed the entire landscape in a pristine white,Lớp tuyết mới phủ trắng xóa toàn bộ khung cảnh,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
137,5/1/2026 2:26:10,Weather,snowy,B1,/ˈsnoʊ·iː/,adjective,Full of or like snow,Chứa đầy tuyết hoặc có đặc điểm giống tuyết,Phủ tuyết,The mountain range was especially snowy after a night of heavy snowfall,Dãy núi đặc biệt trắng xóa tuyết sau một đêm tuyết rơi dày đặc,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
138,5/1/2026 2:26:10,Weather,storm,A2,/stɔːrm/,noun,"A very bad weather event with powerful wind, heavy rain, and sometimes thunder and lightning","Một hiện tượng thời tiết dữ dội, đặc trưng bởi gió mạnh, mưa lớn và đôi khi kèm theo sấm sét","Cơn bão
",The small boat struggled against the rising waves during the fierce storm,Chiếc thuyền nhỏ vật lộn với sóng dữ trong cơn bão dữ dội,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
139,5/1/2026 2:26:10,Weather,stormy,B2,/ˈstɔːr·miː/,adjective,"Having strong winds, heavy rain, and often thunder and lightning","Liên quan đến trạng thái thời tiết có gió mạnh, mưa lớn và thường kèm theo sấm sét",Giông bão,"During the stormy night, the power went out and trees swayed violently","Trong đêm giông bão, điện mất và cây cối ngả nghiêng dữ dội",,,dry clear,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
140,5/1/2026 2:26:10,Weather,dry,A2,/draɪ/,adjective,Having no water or other liquid,Không chứa nước hoặc bất kỳ chất lỏng nào khác,Khô,The ground was very dry after weeks without rain,Đất đã khô cằn sau nhiều tuần không mưa,,desiccated dried,wet,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
141,5/1/2026 2:26:10,Weather,dry,C2,/draɪ/,adjective,Not interesting,"Thiếu sự hấp dẫn, gây nhàm chán","Khô khan, nhàm chán",The history textbook was so dry that many students struggled to stay awake during the lecture,Sách giáo khoa lịch sử khô khan đến mức nhiều sinh viên ngủ gật trong suốt buổi học.,,humdrum monotonous dull boring,exciting,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
142,5/1/2026 2:26:10,Weather,wet,A2,/wet/,adjective,Covered in water or another liquid,Được bao phủ bởi nước hoặc một chất lỏng khác,Ướt,The ground was wet after the heavy rain,Mặt đất ướt sau trận mưa lớn,,sopping sodden soaking moist soaked waterlogged saturated damp soggy,dry,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
143,5/1/2026 2:26:10,Weather,wet,C2,/wet/,adjective,Having a weak character and not expressing strong opinions,"Miêu tả một cá nhân có tính cách yếu đuối, thiếu kiên định và thường không thể hiện những quan điểm mạnh mẽ hoặc kiên quyết",Nhu nhược,"He was too wet to argue against the team's questionable plan, even though he had doubts","Anh ta quá nhu nhược để phản đối kế hoạch có vấn đề của đội, dù anh ta có băn khoăn",,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
144,5/1/2026 2:26:10,Weather,thunderstorm,A2,/ˈθʌn·dər·stɔːrm/,noun,"A storm that includes thunder, lightning, and often a lot of rain","Một cơn giông có kèm theo sấm, chớp và thường có nhiều mưa",Giông bão,A sudden thunderstorm caused the lights to flicker and go out across the town,Một trận giông bất chợt đã khiến đèn đóm chập chờn rồi tắt ngúm trên khắp thị trấn,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
145,5/1/2026 2:26:10,Weather,flood,B1,/flʌd/,noun,A large amount of water covering land that is usually dry,Hiện tượng một lượng lớn nước bao phủ vùng đất vốn thường khô ráo,Lũ lụt,Heavy rains caused a flood in the low-lying fields,Mưa lớn đã gây ra lũ lụt ở các cánh đồng trũng,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
146,5/1/2026 2:26:10,Weather,tornado,B2,/tɔːrˈneɪ·doʊ/,noun,A powerful and dangerous spinning wind that looks like an upside-down cone and can destroy buildings as it moves over the ground,"Một luồng gió xoáy mạnh mẽ và nguy hiểm có hình dạng như một hình nón ngược, có khả năng phá hủy các công trình khi di chuyển trên mặt đất",Vòi rồng,"A tornado ripped through the town, tearing down trees and houses","Một cơn vòi rồng càn quét qua thị trấn, quật đổ cây cối và nhà cửa",,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
